case_id,attrition,R,Q
Emma Smith,No,0.0388,0.642
Liam Clark,No,0.1713,0.39
Olivia Johnson,No,0.1234,0.6057
Noah Lewis,No,0.0651,0.71
Ava Williams,No,0.121,0.2275
Oliver Walker,No,0.0039,0.6886
Sophia Brown,No,0.0037,0.58
James Hall,No,0.0113,0.42
Mia Jones,No,0.0032,0.52
Elijah Allen,No,0.0012,0.56
Charlotte Miller,Yes,0.9204,0.425
William Young,Yes,0.9751,0.445
Amelia Davis,Yes,0.9879,0.5914
Henry King,Yes,0.9676,0.17
Harper Wilson,Yes,0.9641,0.27
Lucas Wright,Yes,0.9882,0.335
Evelyn Taylor,Yes,0.9555,0.7
Benjamin Scott,Yes,0.9622,0.455
Abigail Anderson,Yes,0.9796,0.15
Theodore Adams,Yes,0.9803,0.44
