Case_ID;attrition;Ri_Global_Risk;Ci_Context_Score;Prioritization_Score;cw_prob;fin_prob;od_prob;hr_prob;mu_training_high;mu_education_high;mu_years_company_relevant;mu_years_role_relevant;mu_age_investment_window;mu_experience_sufficient;mu_role_adaptability
Emma Smith;No;0.038839;0.366667;0.202753;0.070361;0.000458;0.090183;0.004482;0.4;0.333333;0.7;0.6;1.0;1.0;0.6
Liam Clark;No;0.17133;0.0;0.085665;0.001389;0.001085;0.805109;0.001108;0.2;0.333333;0.0;0.2;1.0;0.5;0.9
Olivia Johnson;No;0.123442;0.171429;0.147435;0.00941;0.03876;0.515806;0.006138;0.6;0.333333;0.285714;0.6;1.0;1.0;0.6
Noah Lewis;No;0.065051;0.266667;0.165859;0.001344;0.000418;0.303599;0.001278;0.2;0.333333;1.0;0.8;1.0;1.0;0.7
Ava Williams;No;0.121039;0.0;0.06052;0.003787;0.002345;0.558211;0.004913;0.2;0.333333;0.0;0.2;0.666667;0.125;0.4
Oliver Walker;No;0.003912;0.366667;0.185289;9e-06;0.000643;0.015986;0.001359;0.4;0.333333;0.714286;0.8;1.0;1.0;0.7
Sophia Brown;No;0.003668;0.171429;0.087548;1.2e-05;0.000629;0.015028;0.001211;0.2;0.666667;0.428571;0.4;1.0;1.0;0.5
James Hall;No;0.011343;0.0;0.005671;0.001325;0.0006;0.048959;0.00181;0.2;0.0;0.0;0.2;1.0;1.0;0.7
Mia Jones;No;0.003216;0.0;0.001608;8e-06;0.000388;0.013684;0.000821;0.4;0.333333;0.0;0.2;1.0;1.0;0.9
Elijah Allen;No;0.001183;0.057143;0.029163;0.000534;0.000198;0.00348;0.000967;0.4;0.333333;0.142857;0.4;1.0;1.0;0.9
Charlotte Miller;Yes;0.920394;0.0;0.460197;0.94228;0.985432;0.736151;0.981767;0.4;0.333333;0.0;0.0;1.0;0.875;0.4
William Young;Yes;0.975138;0.0;0.487569;0.990795;0.996996;0.952463;0.955905;0.4;0.666667;0.0;0.2;1.0;0.375;0.9
Amelia Davis;Yes;0.987914;0.266667;0.62729;0.996494;0.99753;0.966114;0.987281;0.2;0.333333;0.714286;0.8;0.714286;1.0;0.6
Henry King;Yes;0.967595;0.0;0.483798;0.997261;0.994242;0.887583;0.975741;0.4;0.333333;0.0;0.2;0.0;0.0;0.4
Harper Wilson;Yes;0.964079;0.0;0.482039;0.999909;0.998095;0.846371;0.989037;0.4;0.333333;0.0;0.2;1.0;0.0;0.4
