Case_ID;attrition;age;business_travel;daily_rate;department;distance_from_home;education;education_field;employee_count;employee_number;environment_satisfaction;gender;hourly_rate;job_involvement;job_level;job_role;job_satisfaction;marital_status;monthly_income;monthly_rate;num_companies_worked;over18;over_time;percent_salary_hike;performance_rating;relationship_satisfaction;standard_hours;stock_option_level;total_working_years;training_times_last_year;work_life_balance;years_at_company;years_in_current_role;years_since_last_promotion;years_with_curr_manager
Abigail Anderson;Yes;18;Travel_Frequently;1306;Sales;5;3;Marketing;1;614;2;Male;69;3;1;Sales Representative;2;Single;1878;8059;1;Y;Yes;14;3;4;80;0;0;3;3;0;0;0;0
Adam White;Yes;40;Travel_Rarely;299;Sales;25;4;Marketing;1;2018;4;Male;57;2;3;Sales Executive;2;Single;9094;17235;2;Y;Yes;12;3;3;80;0;9;2;3;5;4;1;0
Alice Brown;Yes;33;Travel_Frequently;827;Research & Development;29;4;Medical;1;2032;1;Female;54;2;2;Research Scientist;3;Single;4508;3129;1;Y;No;22;4;2;80;0;14;4;3;13;7;3;8
Andrew Ross;Yes;30;Travel_Rarely;740;Sales;1;3;Life Sciences;1;2034;2;Male;64;2;2;Sales Executive;1;Married;9714;5323;1;Y;No;11;3;4;80;1;10;4;3;10;8;6;7
Andrew Wood;Yes;41;Travel_Frequently;143;Sales;4;3;Marketing;1;2031;1;Male;56;3;2;Sales Executive;2;Single;9355;9558;1;Y;No;18;3;3;80;0;8;5;3;8;7;7;7
Aria Adams;Yes;40;Travel_Rarely;676;Research & Development;9;4;Life Sciences;1;2027;4;Male;86;3;1;Laboratory Technician;1;Single;2018;21831;3;Y;No;14;3;2;80;0;15;3;1;5;4;1;0
Aria Flores;No;33;Travel_Rarely;217;Sales;10;4;Marketing;1;2052;2;Male;43;3;2;Sales Executive;3;Single;5487;10410;1;Y;No;14;3;2;80;0;10;2;2;10;4;0;9
Brian Long;Yes;41;Travel_Rarely;1102;Sales;1;2;Life Sciences;1;2036;2;Female;94;3;2;Sales Executive;4;Single;5993;19479;8;Y;Yes;11;3;1;80;0;8;0;1;6;4;0;5
Camila Phillips;Yes;19;Travel_Rarely;419;Sales;21;3;Other;1;2001;4;Male;37;2;1;Sales Representative;2;Single;2121;9947;1;Y;Yes;13;3;2;80;0;1;3;4;1;0;0;0
Caroline Bennett;Yes;31;Travel_Rarely;249;Sales;6;4;Life Sciences;1;2030;2;Male;76;1;2;Sales Executive;3;Married;6172;20739;4;Y;Yes;18;3;2;80;0;12;3;2;7;7;7;7
Caroline Roberts;No;31;Travel_Frequently;1125;Research & Development;1;3;Life Sciences;1;2078;4;Male;48;1;2;Research Scientist;1;Married;5003;5771;1;Y;No;21;4;2;80;0;10;6;3;10;8;8;7
Claire Bailey;No;31;Travel_Rarely;196;Sales;29;4;Marketing;1;2070;1;Female;91;2;2;Sales Executive;4;Married;5468;13402;1;Y;No;14;3;1;80;2;13;3;3;12;7;5;7
Diana Kelly;No;31;Travel_Rarely;1232;Research & Development;7;4;Medical;1;2063;3;Female;39;3;3;Manufacturing Director;4;Single;7143;25713;1;Y;Yes;14;3;3;80;0;11;2;2;11;9;4;10
Dominic Perry;No;52;Non_Travel;585;Sales;29;4;Life Sciences;1;2059;1;Male;40;3;1;Sales Representative;4;Divorced;3482;19788;2;Y;No;15;3;2;80;2;16;3;2;9;8;0;0
Eleanor Foster;Yes;26;Travel_Rarely;950;Sales;4;4;Marketing;1;2026;4;Male;48;2;2;Sales Executive;4;Single;5828;8450;1;Y;Yes;12;3;2;80;0;8;0;3;8;7;7;4
Emma Smith;No;32;Travel_Rarely;906;Sales;7;3;Life Sciences;1;420;4;Male;91;2;2;Sales Executive;3;Married;5484;16985;1;Y;No;14;3;3;80;1;13;3;2;13;8;4;8
Evan Fisher;No;26;Travel_Rarely;157;Research & Development;1;3;Medical;1;2061;3;Male;95;3;1;Laboratory Technician;1;Single;2867;20006;0;Y;No;13;3;4;80;0;8;6;2;7;7;7;6
Evan Rogers;No;51;Travel_Rarely;313;Research & Development;3;3;Medical;1;2077;4;Female;98;3;4;Healthcare Representative;2;Single;13734;7192;3;Y;No;18;3;3;80;0;21;6;3;7;7;1;0
Faith Baker;Yes;32;Travel_Frequently;1125;Research & Development;16;1;Life Sciences;1;2017;2;Female;72;1;1;Research Scientist;1;Single;3919;4681;1;Y;Yes;22;4;2;80;0;10;5;3;10;2;6;7
Hunter Adams;No;47;Non_Travel;1169;Research & Development;14;4;Technical Degree;1;2074;3;Male;64;3;2;Research Scientist;2;Married;5467;2125;8;Y;No;18;3;3;80;1;16;4;4;8;7;1;7
Ian Fisher;Yes;25;Travel_Rarely;240;Sales;5;3;Marketing;1;2014;3;Male;46;2;2;Sales Executive;3;Single;5744;26959;1;Y;Yes;11;3;4;80;0;6;1;3;6;4;0;3
Jack Wood;Yes;39;Travel_Frequently;203;Research & Development;2;3;Life Sciences;1;2023;1;Male;84;3;4;Healthcare Representative;4;Divorced;12169;13547;7;Y;No;11;3;4;80;3;21;4;3;18;7;11;5
Jessica Wilson;Yes;29;Travel_Rarely;318;Research & Development;8;4;Other;1;2025;2;Male;77;1;1;Laboratory Technician;1;Married;2119;4759;1;Y;Yes;11;3;4;80;0;7;4;2;7;7;0;7
John Price;No;29;Travel_Frequently;461;Research & Development;1;3;Life Sciences;1;2046;4;Male;70;4;2;Healthcare Representative;3;Single;6294;23060;8;Y;Yes;12;3;4;80;0;10;5;4;3;2;0;2
Jonathan Lewis;No;25;Travel_Frequently;772;Research & Development;2;1;Life Sciences;1;2055;4;Male;77;4;2;Manufacturing Director;3;Divorced;5206;4973;1;Y;No;17;3;3;80;2;7;6;3;7;7;0;7
Jordan Bailey;Yes;35;Travel_Frequently;130;Research & Development;25;4;Life Sciences;1;2012;4;Female;96;3;1;Research Scientist;2;Divorced;2022;16612;1;Y;Yes;19;3;1;80;1;10;3;2;10;2;7;8
Julia Smith;No;35;Travel_Rarely;1395;Research & Development;9;4;Medical;1;2071;2;Male;48;3;2;Research Scientist;3;Single;5098;18698;1;Y;No;19;3;2;80;0;10;5;3;10;7;0;8
Laura Baker;Yes;31;Travel_Frequently;1445;Research & Development;1;5;Life Sciences;1;2033;3;Female;100;4;3;Manufacturing Director;2;Single;7446;8931;1;Y;No;11;3;1;80;0;10;2;3;10;8;4;7
Liam Clark;No;28;Travel_Rarely;995;Research & Development;9;3;Medical;1;930;3;Female;77;3;1;Research Scientist;3;Divorced;2377;9834;5;Y;No;18;3;2;80;1;6;2;3;2;2;2;2
Lucas Brooks;No;32;Travel_Rarely;1018;Research & Development;2;4;Medical;1;2068;1;Female;74;4;2;Research Scientist;4;Single;5055;10557;7;Y;No;16;3;3;80;0;10;0;2;7;7;0;7
Lucas Wright;Yes;33;Travel_Rarely;1017;Research & Development;25;3;Medical;1;1108;1;Male;55;2;1;Research Scientist;2;Single;2313;2993;4;Y;Yes;20;4;2;80;0;5;0;3;2;2;2;2
Lucy Kelly;No;28;Travel_Rarely;857;Research & Development;10;3;Other;1;2079;3;Female;59;3;2;Research Scientist;3;Single;3660;7909;3;Y;No;13;3;4;80;0;10;4;4;8;7;1;7
