Case_ID;attrition;R;Q;P_AL_0.10;P_AL_0.50;P_AL_0.90;P_AG_0.10;P_AG_0.50;P_AG_0.90;P_AM;cw_prob;fin_prob;od_prob;hr_prob
Liam Clark;No;0.17133;0.0;0.017133;0.085665;0.154197;0.0;0.0;0.0;0.0;0.001389;0.001085;0.805109;0.001108
Ava Williams;No;0.121039;0.0;0.012104;0.06052;0.108935;0.0;0.0;0.0;0.0;0.003787;0.002345;0.558211;0.004913
James Hall;No;0.011343;0.0;0.001134;0.005671;0.010209;0.0;0.0;0.0;0.0;0.001325;0.0006;0.048959;0.00181
Mia Jones;No;0.003216;0.0;0.000322;0.001608;0.002894;0.0;0.0;0.0;0.0;8e-06;0.000388;0.013684;0.000821
Charlotte Miller;Yes;0.920394;0.0;0.092039;0.460197;0.828354;0.0;0.0;0.0;0.0;0.94228;0.985432;0.736151;0.981767
William Young;Yes;0.975138;0.0;0.097514;0.487569;0.877624;0.0;0.0;0.0;0.0;0.990795;0.996996;0.952463;0.955905
Henry King;Yes;0.967595;0.0;0.09676;0.483798;0.870836;0.0;0.0;0.0;0.0;0.997261;0.994242;0.887583;0.975741
Harper Wilson;Yes;0.964079;0.0;0.096408;0.482039;0.867671;0.0;0.0;0.0;0.0;0.999909;0.998095;0.846371;0.989037
Lucas Wright;Yes;0.988244;0.0;0.098824;0.494122;0.88942;0.0;0.0;0.0;0.0;0.999909;0.99807;0.973269;0.978832
Benjamin Scott;Yes;0.962172;0.0;0.096217;0.481086;0.865955;0.0;0.0;0.0;0.0;0.999889;0.998704;0.837853;0.988053
Abigail Anderson;Yes;0.979582;0.0;0.097958;0.489791;0.881624;0.0;0.0;0.0;0.0;0.999959;0.996824;0.922592;0.987873
Theodore Adams;Yes;0.980275;0.0;0.098028;0.490138;0.882248;0.0;0.0;0.0;0.0;0.99337;0.997967;0.927688;0.991835
Nicole Bailey;Yes;0.86984;0.0;0.086984;0.43492;0.782856;0.0;0.0;0.0;0.0;0.992507;0.989498;0.43298;0.979351
Camila Phillips;Yes;0.989319;0.0;0.098932;0.494659;0.890387;0.0;0.0;0.0;0.0;0.99996;0.998764;0.965161;0.988699
Paul Russell;Yes;0.967778;0.0;0.096778;0.483889;0.871;0.0;0.0;0.0;0.0;0.994789;0.997302;0.876447;0.9848
Christian Wood;Yes;0.94106;0.0;0.094106;0.47053;0.846954;0.0;0.0;0.0;0.0;0.996377;0.997455;0.742461;0.989294
Sarah Jenkins;Yes;0.97472;0.0;0.097472;0.48736;0.877248;0.0;0.0;0.0;0.0;0.999915;0.99337;0.902588;0.98898
